time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type
2022/03/21/14:40:58.817811,31779,1647841258,699968778,gps,2,1,37.3653397,126.7245145,33.336,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:58.915769,31780,1647841258,799968755,gps,2,1,37.3653345,126.7245096,33.333,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.016919,31781,1647841258,899968731,gps,2,1,37.3653294,126.7245047,33.336,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.121515,31782,1647841258,999968708,gps,2,1,37.3653242,126.7244999,33.338,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.217602,31783,1647841259,99968683,gps,2,1,37.365319,126.724495,33.341,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.327864,31784,1647841259,199968659,gps,2,1,37.3653137,126.7244901,33.342,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.416692,31785,1647841259,299968635,gps,2,1,37.3653085,126.7244852,33.345,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.515421,31786,1647841259,399968611,gps,2,1,37.3653033,126.7244802,33.347,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.617274,31787,1647841259,499968587,gps,2,1,37.365298,126.7244754,33.347,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.716873,31788,1647841259,599968564,gps,2,1,37.3652928,126.7244704,33.355,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.815790,31789,1647841259,699968540,gps,2,1,37.3652876,126.7244656,33.358,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:59.916459,31790,1647841259,799968516,gps,2,1,37.3652824,126.7244607,33.358,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.015821,31791,1647841259,899968492,gps,2,1,37.3652772,126.7244558,33.362,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.120676,31792,1647841259,999968469,gps,2,1,37.365272,126.724451,33.365,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.217241,31793,1647841260,99968444,gps,2,1,37.3652669,126.7244461,33.368,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.320684,31794,1647841260,199968420,gps,2,1,37.3652617,126.7244413,33.372,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.416742,31795,1647841260,299968396,gps,2,1,37.3652566,126.7244365,33.373,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.513040,31796,1647841260,399968373,gps,2,1,37.3652515,126.7244317,33.376,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.622919,31797,1647841260,499968349,gps,2,1,37.3652464,126.7244269,33.381,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:41:00.717286,31798,1647841260,599968325,gps,2,1,37.3652413,126.7244221,33.381,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
